v8-version,8,8,278,15,0
code-creation,Builtin,2,3704,0x100fcb3e0,12,CallSitePrototypeGetFileName
code-creation,Builtin,2,3711,0x100fcb400,12,CallSitePrototypeGetFunction
code-creation,Builtin,2,3718,0x100fcb420,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,2,3726,0x100fcb440,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,2,3734,0x100fcb460,12,CallSitePrototypeGetMethodName
code-creation,Builtin,2,3741,0x100fcb480,12,CallSitePrototypeGetPosition
code-creation,Builtin,2,3748,0x100fcb4a0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,2,3756,0x100fcb4c0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,2,3764,0x100fcb4e0,12,CallSitePrototypeGetThis
code-creation,Builtin,2,3771,0x100fcb500,12,CallSitePrototypeGetTypeName
code-creation,Builtin,2,3778,0x100fcb520,12,CallSitePrototypeIsAsync
code-creation,Builtin,2,3785,0x100fcb540,12,CallSitePrototypeIsConstructor
code-creation,Builtin,2,3793,0x100fcb560,12,CallSitePrototypeIsEval
code-creation,Builtin,2,3800,0x100fcb580,12,CallSitePrototypeIsNative
code-creation,Builtin,2,3807,0x100fcb5a0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,2,3814,0x100fcb5c0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,2,3822,0x100fcb5e0,12,CallSitePrototypeToString
code-creation,Builtin,2,3829,0x100fcb600,12,ConsoleDebug
code-creation,Builtin,2,3835,0x100fcb620,12,ConsoleError
code-creation,Builtin,2,3854,0x100fcb640,12,ConsoleInfo
code-creation,Builtin,2,3861,0x100fcb660,12,ConsoleLog
code-creation,Builtin,2,3867,0x100fcb680,12,ConsoleWarn
code-creation,Builtin,2,3873,0x100fcb6a0,12,ConsoleDir
code-creation,Builtin,2,3880,0x100fcb6c0,12,ConsoleDirXml
code-creation,Builtin,2,3886,0x100fcb6e0,12,ConsoleTable
code-creation,Builtin,2,3892,0x100fcb700,12,ConsoleTrace
code-creation,Builtin,2,3899,0x100fcb720,12,ConsoleGroup
code-creation,Builtin,2,3905,0x100fcb740,12,ConsoleGroupCollapsed
code-creation,Builtin,2,3912,0x100fcb760,12,ConsoleGroupEnd
code-creation,Builtin,2,3919,0x100fcb780,12,ConsoleClear
code-creation,Builtin,2,3925,0x100fcb7a0,12,ConsoleCount
code-creation,Builtin,2,3931,0x100fcb7c0,12,ConsoleCountReset
code-creation,Builtin,2,3938,0x100fcb7e0,12,ConsoleAssert
code-creation,Builtin,2,3944,0x100fcb800,12,ConsoleProfile
code-creation,Builtin,2,3952,0x100fcb820,12,ConsoleProfileEnd
code-creation,Builtin,2,3959,0x100fcb840,12,ConsoleTime
code-creation,Builtin,2,3965,0x100fcb860,12,ConsoleTimeLog
code-creation,Builtin,2,3972,0x100fcb880,12,ConsoleTimeEnd
code-creation,Builtin,2,3978,0x100fcb8a0,12,ConsoleTimeStamp
code-creation,Builtin,2,3985,0x100fcb8c0,12,ConsoleContext
code-creation,Builtin,2,3991,0x100fcb8e0,12,DataViewConstructor
code-creation,Builtin,2,3998,0x100fcb900,12,DateConstructor
code-creation,Builtin,2,4004,0x100fcb920,216,DatePrototypeGetDate
code-creation,Builtin,2,4011,0x100fcba00,216,DatePrototypeGetDay
code-creation,Builtin,2,4018,0x100fcbae0,216,DatePrototypeGetFullYear
code-creation,Builtin,2,4025,0x100fcbbc0,216,DatePrototypeGetHours
code-creation,Builtin,2,4032,0x100fcbca0,192,DatePrototypeGetMilliseconds
code-creation,Builtin,2,4039,0x100fcbd80,216,DatePrototypeGetMinutes
code-creation,Builtin,2,4046,0x100fcbe60,216,DatePrototypeGetMonth
code-creation,Builtin,2,4053,0x100fcbf40,216,DatePrototypeGetSeconds
code-creation,Builtin,2,4060,0x100fcc020,128,DatePrototypeGetTime
code-creation,Builtin,2,4067,0x100fcc0c0,192,DatePrototypeGetTimezoneOffset
code-creation,Builtin,2,4074,0x100fcc1a0,192,DatePrototypeGetUTCDate
code-creation,Builtin,2,4081,0x100fcc280,192,DatePrototypeGetUTCDay
code-creation,Builtin,2,4088,0x100fcc360,192,DatePrototypeGetUTCFullYear
code-creation,Builtin,2,4095,0x100fcc440,192,DatePrototypeGetUTCHours
code-creation,Builtin,2,4102,0x100fcc520,192,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,2,4123,0x100fcc600,192,DatePrototypeGetUTCMinutes
code-creation,Builtin,2,4131,0x100fcc6e0,192,DatePrototypeGetUTCMonth
code-creation,Builtin,2,4138,0x100fcc7c0,192,DatePrototypeGetUTCSeconds
code-creation,Builtin,2,4145,0x100fcc8a0,128,DatePrototypeValueOf
code-creation,Builtin,2,4152,0x100fcc940,372,DatePrototypeToPrimitive
code-creation,Builtin,2,4159,0x100fccac0,12,DatePrototypeGetYear
code-creation,Builtin,2,4167,0x100fccae0,12,DatePrototypeSetYear
code-creation,Builtin,2,4174,0x100fccb00,12,DateNow
code-creation,Builtin,2,4180,0x100fccb20,12,DateParse
code-creation,Builtin,2,4186,0x100fccb40,12,DatePrototypeSetDate
code-creation,Builtin,2,4193,0x100fccb60,12,DatePrototypeSetFullYear
code-creation,Builtin,2,4200,0x100fccb80,12,DatePrototypeSetHours
code-creation,Builtin,2,4207,0x100fccba0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,2,4215,0x100fccbc0,12,DatePrototypeSetMinutes
code-creation,Builtin,2,4222,0x100fccbe0,12,DatePrototypeSetMonth
code-creation,Builtin,2,4229,0x100fccc00,12,DatePrototypeSetSeconds
code-creation,Builtin,2,4236,0x100fccc20,12,DatePrototypeSetTime
code-creation,Builtin,2,4243,0x100fccc40,12,DatePrototypeSetUTCDate
code-creation,Builtin,2,4250,0x100fccc60,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,2,4257,0x100fccc80,12,DatePrototypeSetUTCHours
code-creation,Builtin,2,4265,0x100fccca0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,2,4272,0x100fcccc0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,2,4280,0x100fccce0,12,DatePrototypeSetUTCMonth
code-creation,Builtin,2,4290,0x100fccd00,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,2,4298,0x100fccd20,12,DatePrototypeToDateString
code-creation,Builtin,2,4313,0x100fccd40,12,DatePrototypeToISOString
code-creation,Builtin,2,4321,0x100fccd60,12,DatePrototypeToUTCString
code-creation,Builtin,2,4328,0x100fccd80,12,DatePrototypeToString
code-creation,Builtin,2,4336,0x100fccda0,12,DatePrototypeToTimeString
code-creation,Builtin,2,4343,0x100fccdc0,12,DatePrototypeToJson
code-creation,Builtin,2,4350,0x100fccde0,12,DateUTC
code-creation,Builtin,2,4356,0x100fcce00,12,ErrorConstructor
code-creation,Builtin,2,4363,0x100fcce20,12,ErrorCaptureStackTrace
code-creation,Builtin,2,4370,0x100fcce40,12,ErrorPrototypeToString
code-creation,Builtin,2,4377,0x100fcce60,12,FunctionConstructor
code-creation,Builtin,2,4384,0x100fcce80,76,FunctionPrototypeApply
code-creation,Builtin,2,4391,0x100fccee0,12,FunctionPrototypeBind
code-creation,Builtin,2,4398,0x100fccf00,32,FunctionPrototypeCall
code-creation,Builtin,2,4405,0x100fccf40,12,FunctionPrototypeToString
code-creation,Builtin,2,4413,0x100fccf60,204,CreateIterResultObject
code-creation,Builtin,2,4420,0x100fcd040,768,CreateGeneratorObject
code-creation,Builtin,2,4427,0x100fcd360,12,GeneratorFunctionConstructor
code-creation,Builtin,2,4434,0x100fcd380,404,GeneratorPrototypeNext
code-creation,Builtin,2,4442,0x100fcd520,404,GeneratorPrototypeReturn
code-creation,Builtin,2,4449,0x100fcd6c0,408,GeneratorPrototypeThrow
code-creation,Builtin,2,4456,0x100fcd860,12,AsyncFunctionConstructor
code-creation,Builtin,2,4463,0x100fcd880,40,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,2,4472,0x100fcd8c0,12,GlobalDecodeURI
code-creation,Builtin,2,4479,0x100fcd8e0,12,GlobalDecodeURIComponent
code-creation,Builtin,2,4486,0x100fcd900,12,GlobalEncodeURI
code-creation,Builtin,2,4493,0x100fcd920,12,GlobalEncodeURIComponent
code-creation,Builtin,2,4500,0x100fcd940,12,GlobalEscape
code-creation,Builtin,2,4506,0x100fcd960,12,GlobalUnescape
code-creation,Builtin,2,4513,0x100fcd980,12,GlobalEval
code-creation,Builtin,2,4519,0x100fcd9a0,144,GlobalIsFinite
code-creation,Builtin,2,4526,0x100fcda40,136,GlobalIsNaN
code-creation,Builtin,2,4532,0x100fcdae0,12,JsonParse
code-creation,Builtin,2,4539,0x100fcdb00,12,JsonStringify
code-creation,Builtin,2,4545,0x100fcdb20,3852,LoadIC
code-creation,Builtin,2,4552,0x100fcea40,3648,LoadIC_Megamorphic
code-creation,Builtin,2,4558,0x100fcf8a0,3680,LoadIC_Noninlined
code-creation,Builtin,2,4565,0x100fd0720,48,LoadICTrampoline
code-creation,Builtin,2,4572,0x100fd0760,48,LoadICTrampoline_Megamorphic
code-creation,Builtin,2,4580,0x100fd07a0,6848,LoadSuperIC
code-creation,Builtin,2,4586,0x100fd2280,7136,KeyedLoadIC
code-creation,Builtin,2,4593,0x100fd3e80,12132,KeyedLoadIC_Megamorphic
code-creation,Builtin,2,4600,0x100fd6e00,48,KeyedLoadICTrampoline
code-creation,Builtin,2,4607,0x100fd6e40,48,KeyedLoadICTrampoline_Megamorphic
code-creation,Builtin,2,4615,0x100fd6e80,5712,StoreGlobalIC
code-creation,Builtin,2,4621,0x100fd84e0,48,StoreGlobalICTrampoline
code-creation,Builtin,2,4629,0x100fd8520,6000,StoreIC
code-creation,Builtin,2,4635,0x100fd9ca0,52,StoreICTrampoline
code-creation,Builtin,2,4642,0x100fd9ce0,6432,KeyedStoreIC
code-creation,Builtin,2,4648,0x100fdb620,52,KeyedStoreICTrampoline
code-creation,Builtin,2,4655,0x100fdb660,420,StoreInArrayLiteralIC
code-creation,Builtin,2,4663,0x100fdb820,2680,LoadGlobalIC
code-creation,Builtin,2,4669,0x100fdc2a0,2660,LoadGlobalICInsideTypeof
code-creation,Builtin,2,4676,0x100fdcd20,48,LoadGlobalICTrampoline
code-creation,Builtin,2,4684,0x100fdcd60,48,LoadGlobalICInsideTypeofTrampoline
code-creation,Builtin,2,4691,0x100fdcda0,2188,CloneObjectIC
code-creation,Builtin,2,4698,0x100fdd640,2108,CloneObjectIC_Slow
code-creation,Builtin,2,4705,0x100fdde80,2564,KeyedHasIC
code-creation,Builtin,2,4711,0x100fde8a0,2264,KeyedHasIC_Megamorphic
